区域,人口,面积,收入,社区,医院,养老院,公园,院校
黄浦, 66.2,20.46,96448,1,7,3,6,3
徐汇,111.3,54.93,90555,9,12,5,5,11
长宁,69.3,38.30,92402,4,5,1,4,5
静安,97.6,36.88,93547,2,15,5,6,2
普陀,124.0,54.83,88916,8,4,3,6,2  
虹口,75.7,23.46,90959,1,8,4,5,3  
杨浦,124.3,60.73,90529,1,13,5,8,7  
闵行,265.3,372.56,82413,3,8,15,9,4  
宝山,223.5,365.30,79344,1,5,5,5,5  
嘉定,183.4,463.55,67277,1,9,7,10,2  
浦东,568.1,1210.41,84089,10,36,16,20,10  
金山,82.3,613.00,53817,1,5,5,2,1  
松江,191.0,604.64,66452,5,4,6,9,3  
青浦,127.1,668.54,59944,3,5,1,2,0  
奉贤,114.1,733.38,55292,2,2,5,3,4  
崇明,63.8,1413.00,48237,1,1,11,4,4